CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
05/21/2018,13,12,13,14,12,10,6,10,10,12,14,16,19,30,39,46,42,41,33,28,24,21,17,17
05/22/2018,15,13,10,10,9,6,4,10,15,20,25,31,36,37,34,31,32,34,32,29,25,24,22,20
05/23/2018,18,14,14,11,12,11,14,15,21,24,28,30,33,35,36,34,35,35,33,29,25,23,22,20
05/24/2018,18,17,16,15,19,18,17,14,17,19,24,28,31,34,38,40,41,37,33,29,26,27,24,21
05/25/2018,17,14,13,15,13,7,9,13,16,20,28,37,41,45,45,46,47,41,40,35,31,32,31,26
05/26/2018,20,17,18,15,10,6,6,8,16,25,33,44,48,44,48,49,45,46,46,44,37,34,29,23
05/27/2018,20,17,15,15,12,10,10,14,18,24,30,35,41,45,44,47,47,48,46,42,41,44,34,27
05/28/2018,23,19,16,14,9,8,6,13,20,30,38,43,46,49,48,50,52,52,49,47,46,44,39,33
05/29/2018,26,21,19,15,13,6,8,14,21,30,41,47,52,53,56,54,52,52,49,40,36,26,22,20
05/30/2018,17,15,13,11,8,6,8,11,17,22,28,34,35,34,36,38,39,36,32,27,23,20,17,14
05/31/2018,12,12,13,14,13,12,11,15,21,27,31,35,36,38,38,39,41,41,38,35,28,24,21,18
06/01/2018,18,18,20,21,21,17,17,20,23,27,31,35,37,40,42,43,43,40,37,35,29,21,17,14
06/02/2018,12,14,14,12,12,11,17,19,21,27,33,34,36,37,39,42,44,43,42,37,31,24,19,16
06/03/2018,14,12,11,11,10,9,8,9,13,20,30,40,46,48,45,41,40,40,36,33,31,30,27,26
06/04/2018,33,31,29,29,30,26,20,20,28,28,35,36,36,40,44,47,53,60,58,48,39,36,29,23
