CAMS 1068 Nitric Oxide Summary Report for 2020
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
Nitric Oxide (POC 1) measured in parts per billion
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/03/2020,7.4,4.8,4.1,6.5,9.6,18.8,20.8,20.3,22.7,24.9,21.8,18.0,17.8,17.3,11.0,1.0,1.4,1.1,0.9,0.8,0.5,1.4,0.3,0.3
04/04/2020,0.3,0.3,0.5,0.3,0.1,0.9,6.7,0.5,0.8,1.5,2.4,11.4,1.9,1.4,1.3,9.7,9.0,1.8,20.1,1.6,0.6,0.4,0.6,0.5
04/05/2020,0.5,CAL,CAL,CAL,CAL,0.9,3.6,1.2,4.7,7.7,6.5,10.6,7.8,8.6,9.5,8.9,11.3,13.1,11.4,16.9,15.3,16.5,20.0,11.7
04/06/2020,9.3,12.2,1.4,6.9,18.2,40.0,41.3,34.7,35.9,19.6,11.3,10.4,10.4,16.7,18.5,17.9,17.8,20.2,24.8,29.0,24.1,15.0,15.7,7.5
04/07/2020,2.5,2.9,0.8,0.7,0.9,3.2,19.8,9.7,7.0,6.4,3.1,6.7,9.8,5.7,7.5,7.2,7.3,9.2,9.7,13.8,11.8,7.7,6.0,5.8
04/08/2020,4.1,5.5,3.8,2.9,1.9,6.1,22.0,41.3,27.1,11.0,9.9,5.1,1.3,2.6,9.9,11.5,12.9,19.7,15.3,14.6,10.8,8.8,6.5,6.8
04/09/2020,4.8,4.1,4.9,11.3,3.8,3.6,13.1,11.7,2.0,4.9,PMA,PMA,7.1,2.5,0.1,0.5,0.6,0.4,7.0,11.1,12.4,7.9,0.3,0.2
04/10/2020,0.4,0.2,0.3,0.4,0.7,2.0,3.2,2.8,4.1,5.7,12.1,14.6,12.2,10.1,12.7,12.6,15.8,14.1,13.9,14.6,11.9,8.8,6.2,4.8
04/11/2020,7.0,4.0,1.6,7.5,7.8,12.2,19.3,12.0,11.4,8.4,10.9,9.2,11.3,12.8,15.0,13.6,15.5,17.5,11.1,7.1,9.4,5.1,3.2,3.1
04/12/2020,2.5,SPN,SPN,1.5,1.0,0.7,0.9,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.2,-0.0,0.2,0.2,-0.0,0.1,0.9,4.0,0.1,-0.0
04/13/2020,0.1,-0.1,-0.0,0.1,0.1,0.2,0.0,0.4,0.8,0.9,QAS,QAS,PMA,2.0,4.5,4.7,8.6,8.5,8.8,7.5,8.5,8.2,5.1,4.4
04/14/2020,0.0,0.3,0.3,0.1,0.2,0.4,0.7,7.0,9.3,5.5,4.4,1.8,3.5,1.7,3.2,2.8,2.1,2.4,0.1,-0.0,0.3,-0.0,0.2,0.0
04/15/2020,0.1,0.2,0.0,0.0,0.2,0.3,0.6,3.3,9.6,9.7,8.4,3.7,2.4,4.7,10.1,10.4,13.4,15.9,21.3,20.6,19.6,22.0,16.1,17.8
04/16/2020,6.9,12.6,11.3,10.3,16.3,55.2,51.9,55.3,27.7,16.5,13.3,10.9,9.5,9.2,10.4,7.0,8.3,9.0,7.6,13.4,8.0,4.1,3.7,5.7
04/17/2020,3.8,4.9,3.0,3.7,11.9,31.2,39.3,24.9,19.4,12.5,25.5,21.3,23.0,20.2,7.6,0.9,1.0,0.7,0.3,3.9,1.5,0.1,0.1,0.1
04/18/2020,-0.0,0.4,0.1,0.2,0.0,0.0,0.6,1.0,2.3,5.5,9.9,12.3,6.7,4.1,9.0,13.3,13.8,16.8,20.7,15.1,2.3,0.1,0.2,7.0
04/19/2020,5.3,SPN,SPN,1.4,1.0,0.6,1.0,1.5,12.1,9.2,5.8,3.3,0.8,0.5,0.5,0.4,0.4,0.5,0.5,0.9,3.3,10.0,6.1,0.8
04/20/2020,0.5,0.6,1.7,6.5,8.1,19.9,29.5,8.7,21.1,17.3,11.8,12.3,12.2,11.3,13.0,10.8,11.9,11.4,13.8,14.6,12.6,7.4,4.5,7.8
04/21/2020,6.8,3.0,3.2,2.8,11.4,34.3,40.9,29.9,24.4,18.1,16.7,13.3,10.7,10.6,12.7,10.7,10.1,10.0,10.5,10.0,8.1,9.2,7.5,4.6
04/22/2020,3.4,3.9,4.2,5.1,10.2,16.1,16.4,12.6,12.4,11.2,15.1,13.1,11.4,6.2,8.1,9.8,10.5,4.3,6.5,15.1,16.8,8.2,1.0,0.9
04/23/2020,15.1,1.3,1.6,0.8,16.0,11.9,12.6,9.8,1.3,0.6,0.5,0.7,0.7,1.9,3.0,5.5,12.4,11.7,18.6,13.9,17.1,9.5,8.7,3.3
04/24/2020,4.5,3.5,0.8,0.5,0.8,5.9,3.4,2.6,4.3,3.8,4.5,4.2,3.9,4.4,4.6,2.5,0.8,0.8,0.5,0.3,0.4,0.5,0.5,8.5
04/25/2020,2.6,2.7,0.5,0.5,0.3,0.2,0.7,0.7,0.8,0.9,2.9,2.1,1.7,1.0,2.7,1.9,3.5,3.1,7.5,8.1,8.1,1.1,0.6,0.6
