CAMS 1068 PM-2.5 (Local Conditions) Summary Report for 2019
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
PM-2.5 (Local Conditions) (POC 2) measured in micrograms per cubic meter (local conditions)
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/09/2019,15.0,10.0,8.0,5.0,7.0,5.0,9.0,1.0,17.0,13.0,10.0,10.0,12.0,6.0,10.0,9.0,7.0,7.0,9.0,10.0,9.0,11.0,10.0,10.0
04/10/2019,9.0,10.0,7.0,9.0,10.0,8.0,9.0,5.0,11.0,12.0,13.0,16.0,15.0,11.0,10.0,9.0,7.0,5.0,8.0,6.0,9.0,7.0,4.0,9.0
04/11/2019,8.0,6.0,9.0,8.0,12.0,10.0,11.0,4.0,22.0,23.0,21.0,17.0,5.0,4.0,8.0,3.0,4.0,4.0,12.0,3.0,4.0,4.0,5.0,6.0
04/12/2019,5.0,5.0,4.0,6.0,3.0,2.0,3.0,2.0,6.0,7.0,4.0,7.0,8.0,6.0,7.0,8.0,14.0,9.0,10.0,13.0,19.0,16.0,17.0,14.0
04/13/2019,14.0,16.0,15.0,13.0,8.0,8.0,9.0,8.0,6.0,7.0,3.0,3.0,6.0,6.0,4.0,1.0,8.0,2.0,8.0,0.0,4.0,1.0,1.0,0.0
04/14/2019,2.0,5.0,3.0,5.0,11.0,13.0,7.0,1.0,4.0,7.0,7.0,8.0,7.0,1.0,6.0,3.0,2.0,7.0,9.0,6.0,8.0,7.0,8.0,6.0
04/15/2019,7.0,7.0,7.0,7.0,9.0,11.0,10.0,7.0,7.0,9.0,10.0,3.0,7.0,5.0,10.0,7.0,7.0,6.0,4.0,5.0,3.0,8.0,6.0,7.0
04/16/2019,6.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,4.0,5.0,4.0,11.0,7.0,8.0,8.0,6.0,8.0,6.0,5.0,6.0,8.0,7.0,2.0,9.0
04/17/2019,9.0,8.0,10.0,7.0,13.0,11.0,11.0,10.0,10.0,12.0,10.0,16.0,25.0,18.0,27.0,24.0,18.0,18.0,16.0,11.0,13.0,14.0,14.0,-2.0
04/18/2019,7.0,7.0,10.0,5.0,6.0,5.0,6.0,4.0,8.0,9.0,10.0,8.0,-2.0,6.0,5.0,3.0,3.0,4.0,-2.0,3.0,3.0,3.0,-1.0,2.0
04/19/2019,2.0,4.0,3.0,1.0,1.0,4.0,2.0,-1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,5.0,4.0,7.0,7.0
04/20/2019,5.0,8.0,4.0,8.0,5.0,7.0,1.0,-2.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,8.0,6.0,8.0,7.0,8.0,8.0,7.0,3.0,6.0
04/21/2019,2.0,1.0,6.0,5.0,7.0,7.0,13.0,11.0,13.0,3.0,8.0,4.0,6.0,3.0,7.0,5.0,4.0,6.0,2.0,5.0,7.0,5.0,5.0,5.0
04/22/2019,7.0,8.0,7.0,3.0,6.0,9.0,6.0,8.0,3.0,10.0,6.0,9.0,9.0,1.0,7.0,5.0,6.0,4.0,5.0,2.0,4.0,11.0,6.0,10.0
04/23/2019,6.0,8.0,5.0,6.0,10.0,10.0,9.0,11.0,12.0,14.0,15.0,16.0,20.0,17.0,16.0,15.0,19.0,11.0,16.0,12.0,12.0,12.0,8.0,9.0
04/24/2019,7.0,10.0,9.0,7.0,6.0,5.0,-2.0,5.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,0.0,5.0,3.0,2.0,4.0,2.0
04/25/2019,3.0,1.0,2.0,2.0,3.0,4.0,3.0,0.0,3.0,3.0,7.0,9.0,7.0,4.0,3.0,3.0,4.0,3.0,5.0,10.0,7.0,10.0,10.0,6.0
04/26/2019,9.0,7.0,7.0,12.0,9.0,7.0,2.0,3.0,3.0,5.0,3.0,6.0,5.0,4.0,4.0,4.0,6.0,5.0,7.0,5.0,6.0,7.0,9.0,6.0
04/27/2019,5.0,9.0,11.0,11.0,11.0,11.0,8.0,7.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,14.0,8.0,13.0,8.0,7.0,7.0,8.0
04/28/2019,7.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,11.0,3.0,13.0,9.0,7.0,8.0,5.0,8.0,9.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0
04/29/2019,4.0,5.0,11.0,9.0,10.0,12.0,12.0,13.0,15.0,11.0,8.0,15.0,12.0,16.0,12.0,13.0,10.0,14.0,10.0,14.0,17.0,18.0,18.0,19.0
04/30/2019,16.0,15.0,14.0,14.0,12.0,14.0,18.0,17.0,20.0,15.0,10.0,9.0,16.0,14.0,13.0,18.0,16.0,17.0,17.0,17.0,19.0,18.0,19.0,16.0
05/01/2019,16.0,18.0,16.0,16.0,15.0,17.0,12.0,14.0,14.0,9.0,14.0,11.0,15.0,11.0,15.0,14.0,15.0,20.0,14.0,17.0,12.0,10.0,14.0,16.0
05/02/2019,13.0,14.0,18.0,14.0,-2.0,3.0,1.0,2.0,-1.0,9.0,9.0,12.0,10.0,-1.0,7.0,7.0,-2.0,5.0,8.0,4.0,6.0,5.0,5.0,3.0
05/03/2019,6.0,6.0,8.0,6.0,3.0,6.0,5.0,3.0,-1.0,6.0,10.0,8.0,5.0,9.0,14.0,10.0,-1.0,8.0,7.0,4.0,6.0,5.0,1.0,4.0
